"Wavelength","ATTO 488 EM","ATTO 488 AB"
524,0.979134198961038,0.0893160181861471
525,0.96645022151515,0.0753896124025973
526,0.949510835281384,0.0637186168181817
527,0.929558448917748,0.0539653696277056
528,0.906978359567098,0.0458354988701298
529,0.884506499999999,0.0388787883809523
530,0.860844163809523,0.0330000003463203
531,0.834489189826839,0.0282121214848484
532,0.807393955670995,0.0241038962294372
533,0.781160193376622,0.0206839825281385
534,0.754727287835497,0.0177142855376623
535,0.72790044099567,0.0151774888770563
536,0.701415594935064,0.0130346317714286
537,0.675692649696969,0.0112683980995671
538,0.650770561991341,0.00992640694329003
539,0.62638095103896,0.00878787876320345
540,0.602160168095237,0.00787878793246752
541,0.580021643809523,0.00704761915584415
542,0.558783544718614,0.00625108239437229
543,0.539199129437229,0.00564502175108224
544,0.519987012640692,0.00534199126796536
545,0.502857136709956,0.00507792198744588
546,0.48634631047619,0.00483116876666666
547,0.470744579783549,0.00453679653030302
548,0.455727267922077,0.00446320356969696
549,0.442160174242424,0.00416883133333333
550,0.429017314761904,0.00383116901255411
551,0.417571429047618,0.00362770577142857
552,0.406432901125541,0.00340259747402597
553,0.396471859047619,0.00300000004155844
554,0.386636365194805,0.00259740262857143
555,0.376848484199134,0.00228138532597402
556,0.367441559350649,0.00222943732467532
557,0.357999999134199,0.0020000001060606
558,0.34854978090909,0.00177056286580086
559,0.339705629480519,0.00162770569047619
560,0.330939393939393,0.00128138530952381
561,0.3222987004329,0.00110822511904762
562,0.313709956926406,0.00119913421904762
563,0.305424241904761,0.00131168834285714
564,0.297225109870129,0.00148917753809524
565,0.289000002034632,0.00139826843809524
566,0.280683986666666,0.00137229440952381
567,0.272454553852813,0.0013679654047619
568,0.264489182337662,0.00143290047619047
569,0.255969699826839,0.00156709962380952
570,0.247740261731601,0.00172294379523809
571,0.23970562995671,0.00165800872380952
572,0.23157576073593,0.00146320350952381
573,0.223623378917749,0.00113852815238095
574,0.215424245844156,0.000969696966666665
575,0.207506496709956,0.000909090899999999
576,0.1997359304329,0.000999999999999999
577,0.191935064025974,0.000999999999999999
578,0.184411254502164,0.000999999999999999
579,0.177051947748918,0.000999999999999999
580,0.169943725238095,0.000999999999999999
581,0.163281389307359,0.000999999999999999
582,0.156601736493506,0.000999999999999999
583,0.150593077575757,0.000999999999999999
584,0.144813857445887,0.000999999999999999
585,0.139112558095238,0.000999999999999999
586,0.133536798571428,0.000999999999999999
587,0.127818183463203,0.000999999999999999
588,0.122220781558441,0.000999999999999999
589,0.11683117051948,0.000999999999999999
590,0.111935065632034,0.000999999999999999
591,0.107398267428571,0.000999999999999999
592,0.103376623480519,0.000999999999999999
593,0.0992294367229436,0.000999999999999999
594,0.0954675317662336,0.000999999999999999
595,0.0914285702987012,0.000999999999999999
596,0.0879783542467531,0.000999999999999999
597,0.0844285718701297,0.000999999999999999
598,0.0813766245757575,0.000999999999999999
599,0.0783809537402596,0.000999999999999999
600,0.0755757596796536,0.000999999999999999
601,0.0726753260129869,0.000999999999999999
602,0.0698787883722943,0.000999999999999999
603,0.0671601727445887,0.000999999999999999
604,0.0649653673419913,0.000999999999999999
605,0.0625627706233765,0.000999999999999999
606,0.0605064937402597,0.000999999999999999
607,0.0585974028571428,0.000999999999999999
608,0.056593074073593,0.000999999999999999
609,0.054826840103896,0.000999999999999999
610,0.0528787879870129,0.000999999999999999
611,0.0511904759350649,0.000999999999999999
612,0.0499177481601731,0.000999999999999999
613,0.0483116879999999,0.000999999999999999
614,0.0467705624761904,0.000999999999999999
615,0.0452251081255411
616,0.0437445885367965
617,0.0423073591688311
618,0.0408008659523809
619,0.0394458869610389
620,0.0384632026536796
621,0.0371688302683982
622,0.0358311682121212
623,0.0345367964675324
624,0.0333722944545454
625,0.0321385279740259
626,0.0309696969307359
627,0.0299090906623376
628,0.0289999999264069
629,0.028000000012987
630,0.0270000005844155
631,0.0260000006883117
632,0.0249090914632034
633,0.0239696971082251
634,0.0231385281082251
635,0.0223722943722943
636,0.0215367965670995
637,0.0208311686926407
638,0.0201688306147186
639,0.0194632027748917
640,0.0185367959523809
641,0.0178311686363636
642,0.0170779222727273
643,0.0163419919264069
644,0.0157359314242424
645,0.0153722949264069
646,0.0150303031688311
647,0.0144891774588744
648,0.0137705626796537
649,0.0132294372294372
650,0.0125108225108225
651,0.0118787878787879
652,0.0115064935064935
653,0.0113722943904762
654,0.0112597402839827
655,0.0108614718398268
656,0.0103982682961039
657,0.0100909088181818
658,0.00954112521904761
659,0.00896969670216449
660,0.00850649338008657
661,0.00837229447445886
662,0.00816883146406925
663,0.00783116922770562
664,0.00753679693506493
665,0.00737229464675324
666,0.00722943746623376
667,0.00700000019696969
668,0.00677056293852813
669,0.00662770579047618
670,0.0063722945095238
671,0.00622943736147185
672,0.00600000010303029
673,0.00577056283376623
674,0.00562770565324675
675,0.00537229434675324
676,0.00513852806623376
677,0.00496969686363636
678,0.00499999985454545
679,0.00503030292121211
680,0.0048614718030303
681,0.00462770563939393
682,0.00437229446060605
683,0.00413852829696969
684,0.00396969717878787
685,0.00390909113636363
686,0.0040909093090909
687,0.00403030323636363
688,0.00386147203376623
689,0.00362770575324675
690,0.00337229444675324
691,0.00313852816623376
692,0.00296969696363636
693,0.00290909089090909
694,0.003
695,0.003
696,0.003
697,0.00309090908181818
698,0.00303030302727272
699,0.00286147187532467
700,0.00262770566493506
701,0.00237229443506493
702,0.00213852822467532
703,0.00196969707272727
704,0.00190909101818182
705,0.0020000001
706,0.0020000001
707,0.0020000001
708,0.0020000001
709,0.0020000001
710,0.0020000001
711,0.0020909092
712,0.00203030313333333
713,0.00186147194761905
714,0.00162770569047619
715,0.00137229440952381
716,0.00113852815238095
717,0.000969696966666665
718,0.000909090899999999
719,0.000999999999999999
720,0.000999999999999999
721,0.000999999999999999
722,0.000999999999999999
723,0.000999999999999999
724,0.000999999999999999
725,0.000999999999999999
726,0.000999999999999999
727,0.000999999999999999
728,0.000999999999999999
729,0.000999999999999999
730,0.000999999999999999
731,0.000999999999999999
732,0.000999999999999999
733,0.000999999999999999
734,0.000999999999999999
735,0.000999999999999999
736,0.000999999999999999
737,0.000999999999999999
738,0.000999999999999999
739,0.000999999999999999
740,0.000999999999999999
741,0.000999999999999999
